"probe","EntrezGene.ID","HUGO.gene.symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NM_000125",2099,"ESR1",-1.18657582052347,-0.294547619047619,-33.5263240883469,1.40040885126748e-109,3.42834090878791e-105,238.072509216008
"NM_002051",2625,"GATA3",-0.855597435195327,-0.162038575667656,-25.0193778609064,4.90475833187804e-79,6.00366943613531e-75,168.994343650089
"Contig46934_RC",155465,NA,-1.11723808616088,-0.3217,-23.3172901732226,6.2088265573682e-72,5.0666094316977e-68,152.837550813204
"NM_001218",771,"CA12",-0.701123539612997,-0.137175074183976,-22.7727484252586,2.48474226958304e-70,1.52072438754156e-66,149.221072116446
"Contig56678_RC",79875,"THSD4",-0.73048653705732,-0.211320474777448,-21.8176256760549,1.42842683842536e-66,6.99386348629823e-63,140.672890584076
"Contig51369_RC",3899,"AFF3",-0.807725584154801,-0.216682492581602,-21.6336078793588,7.63159469502204e-66,3.11381782881391e-62,139.017685105287
"AB020689",23158,"TBC1D9",-0.73806316173786,-0.187483679525223,-21.2908716923291,1.74077816106824e-64,6.08799859444452e-61,135.928362207466
"NM_004496",3169,"FOXA1",-1.03965543994158,-0.244213649851632,-20.7719432695996,2.0096605441968e-62,6.14981247281024e-59,131.236116192799
"Contig37571_RC",79875,"THSD4",-0.59697091815538,-0.11703869047619,-20.6645626295088,6.12451390830847e-62,1.66593583321444e-58,130.129317424533
"NM_014668",9687,NA,-0.799643026652063,-0.214824925816024,-20.1436514033779,6.43569600147337e-60,1.5755227381207e-56,125.534294615751
"NM_003462",7802,"DNALI1",-0.794649689667762,-0.173537091988131,-19.2709105116998,1.99781916787326e-56,4.44623736806412e-53,117.585066813064
"NM_016267",51442,"VGLL1",0.779009355604236,-0.299077151335312,19.0363455242801,1.74064220882891e-55,3.55105515952838e-52,115.444436580891
"Contig53968_RC",222171,"PRR15",-0.807764466958744,-0.210608308605341,-18.8294433376952,1.17587122663141e-54,2.21434642301258e-51,113.555272162494
