specie_name;OrgDb;Biomart_Datasets;org_short;Reactome_organism
Human;org.Hs.eg.db;hsapiens_gene_ensembl;hsa;human
Mouse;org.Mm.eg.db;mmusculus_gene_ensembl;mmu;mouse
Rat;org.Rn.eg.db;rnorvegicus_gene_ensembl;rno;rat
Yeast;org.Sc.sgd.db;scerevisiae_gene_ensembl;sce;yeast
Fly;org.Dm.eg.db;dmelanogaster_gene_ensembl;dme;fly
Arabidopsis;org.At.tair.db;
Zebrafish;org.Dr.eg.db;drerio_gene_ensembl;dre;zebrafish
Bovine;org.Bt.eg.db;btaurus_gene_ensembl;bta
Worm;org.Ce.eg.db;celegans_gene_ensembl;cel;celegans
Chicken;org.Gg.eg.db;ggallus_gene_ensembl;gga
Canine;org.Cf.eg.db;clfamiliaris_gene_ensembl;clf
Pig;org.Ss.eg.db;ssusmarc_gene_ensembl;ssu
Rhesus;org.Mmu.eg.db;mmulatta_gene_ensembl;mmu
EcolistrainK12;org.EcK12.eg.db;;
Xenopus;org.Xl.eg.db;csemilaevis_gene_ensembl;cse
Chimp;org.Pt.eg.db;ptroglodytes_gene_ensembl;ptr
Anopheles;org.Ag.eg.db;;
Malaria;org.Pf.plasmo.db;;
EcolistrainSakai;org.EcSakai.eg.db;scerevisiae_gene_ensembl;sce
